url,address,postCode,latitude,longitude,NumBeds,NumBaths,price,buildingStyle,buildingType,buildingDevelopment,buildingExteriorFinish,buildingFirePlace,buildingHeatingType,buildingHeatingFuel,buildingCoolingType,propertyOwnershipType,propertyType,parkingType,numParking
https://www.royallepage.ca/en/property/ontario/toronto/2816-30-shore-breeze-dr/16186114/mlsw5363699/,"#2816 -30 SHORE BREEZE DR, Toronto, Ontario, M8V 1A1",M8V 1A1,0,0,2,2,970000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/1405-50-charles-st-e/16190226/mlsc5364987/,"#1405 -50 CHARLES ST E, Toronto, Ontario, M4Y 1T1",M4Y 1T1,0,0,2,1,962000,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,
https://www.royallepage.ca/en/property/ontario/toronto/102-bridlegrove-dr/16191672/mlse5365105/,"102 BRIDLEGROVE DR, Toronto, Ontario, M1M 3X2",M1M 3X2,0,0,3+1,3,950499,Townhouse,,,"Brick, Stone",,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Attached garage,3
https://www.royallepage.ca/en/property/ontario/toronto/6-fintona-ave/16190250/mlse5364781/,"6 FINTONA AVE, Toronto, Ontario, M1E 1V3",M1E 1V3,0,0,2+1,1,949000,Detached,,,Brick,,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Attached garage,4
https://www.royallepage.ca/en/property/ontario/toronto/2902-88-scott-st/16190659/mlsc5364212/,"#2902 -88 SCOTT ST, Toronto, Ontario, M5E 0A9",M5E 0A9,0,0,1+1,1,929000,Apartment,,,,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",1
https://www.royallepage.ca/en/property/ontario/toronto/31-145-long-branch-ave/16190302/mlsw5365045/,"#31 -145 LONG BRANCH AVE, Toronto, Ontario, M8W 0A9",M8W 0A9,0,0,2,3,925000,Townhouse,,,Brick,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/205-400-wellington-st-w/16191346/mlsc5364036/,"#205 -400 WELLINGTON ST W, Toronto, Ontario, M5V 1E3",M5V 1E3,0,0,2,2,925000,Apartment,,,"Brick, Concrete",,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",
https://www.royallepage.ca/en/property/ontario/toronto/26c-brookfield-st/16190606/mlsc5364617/,"26C BROOKFIELD ST, Toronto, Ontario, M6J 3A9",M6J 3A9,0,0,1+1,2,899999,Semi-Detached,,,Brick,,Radiant heat,Natural gas,,Freehold,Single Family,,1
https://www.royallepage.ca/en/property/ontario/toronto/1005-10-capreol-crt/16190224/mlsc5364979/,"#1005 -10 CAPREOL CRT, Toronto, Ontario, M5V 4B3",M5V 4B3,0,0,2,2,899990,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,Underground,1
https://www.royallepage.ca/en/property/ontario/toronto/310-50-mccaul-st/16190605/mlsc5364606/,"#310 -50 MCCAUL ST, Toronto, Ontario, M5T 0B6",M5T 0B6,0,0,2,2,899900,Apartment,,,Concrete,,Forced air,Natural gas,Central air conditioning,Condominium/Strata,Single Family,"Underground, Visitor parking",
https://www.royallepage.ca/en/property/ontario/toronto/21-magdalena-crt/16186093/mlsw5363598/,"21 MAGDALENA CRT, Toronto, Ontario, M9V 4S7",M9V 4S7,0,0,3+1,3,899900,Detached,,,"Aluminum siding, Brick",Yes,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,Attached garage,4
https://www.royallepage.ca/en/property/ontario/toronto/30-clinton-st/16190950/mlsc5364072/,"30 CLINTON ST, Toronto, Ontario, M6J 2P1",M6J 2P1,0,0,4,3,899900,Semi-Detached,,,Vinyl,,Forced air,Natural gas,Central air conditioning,Freehold,Single Family,,1
