url,address,postCode,latitude,longitude,NumBeds,NumBaths,price
https://www.royallepage.ca/en/property/quebec/ville-marie-montreal/1606-1050-rue-drummond/13540581/mls23201160/,"1606-1050 Rue Drummond, Ville-Marie (Montréal), QC, H3B 0G3",H3B 0G3,0,0,2,2,659000
https://www.royallepage.ca/en/property/quebec/ville-marie-montreal/n2-1100-boul-robert-bourassa/13540594/mls28466238/,"N2-1100 Boul. Robert-Bourassa, Ville-Marie (Montréal), QC, H3B 3A5",H3B 3A5,0,0,,,108000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/706-550-rue-jean-destrees/13527219/mls21835446/,"706-550 Rue Jean-D'Estrées, Montréal (Ville-Marie), QC, H3C 6W1",H3C 6W1,0,0,1,1,399000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1825-rue-tupper/13485440/mls27461239/,"1825 Rue Tupper, Montréal (Ville-Marie), QC, H3H 1N3",H3H 1N3,0,0,4,2,839000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/107-1211-rue-drummond/13400459/mls25548506/,"107-1211 Rue Drummond, Montréal (Ville-Marie), QC, H3G 0B6",H3G 0B6,0,0,2,2,799000
https://www.royallepage.ca/en/property/quebec/montreal-rosemontla-petite-patrie/1889-rue-beaubien-e/13380462/mls25913891/,"1889 Rue Beaubien E., Montréal (Rosemont/La Petite-Patrie), QC, H2G 1L8",H2G 1L8,0,0,,,849000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/212-1111-rue-st-urbain/13374587/mls25816669/,"212-1111 Rue St-Urbain, Montréal (Ville-Marie), QC, H2Z 1Y6",H2Z 1Y6,0,0,,,680000
https://www.royallepage.ca/en/property/quebec/montreal-rosemontla-petite-patrie/1203-5105-boul-de-lassomption/13371509/mls19541753/,"1203-5105 Boul. de l'Assomption, Montréal (Rosemont/La Petite-Patrie), QC, H1T 4B4",H1T 4B4,0,0,2,2,575000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1228-rue-bishop/13364975/mls16366783/,"1228 Rue Bishop, Montréal (Ville-Marie), QC, H3G 2E3",H3G 2E3,0,0,,,168000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/164-rue-st-paul-o/15311699/mls20217337/,"164 Rue St-Paul O., Montréal (Ville-Marie), QC, H2Y 1Z7",H2Y 1Z7,0,0,,,1995000
https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/430-av-duluth-e/13342721/mls26233659/,"430 Av. Duluth E., Montréal (Le Plateau-Mont-Royal), QC, H2L 1A3",H2L 1A3,0,0,,,58000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1625-boul-de-maisonneuve-o/13322065/mls26672847/,"1625 Boul. De Maisonneuve O., Montréal (Ville-Marie), QC, H3H 2N4",H3H 2N4,0,0,,,299000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/704-1225-boul-robert-bourassa/13301930/mls23425098/,"704-1225 Boul. Robert-Bourassa, Montréal (Ville-Marie), QC, H3B 9A9",H3B 9A9,0,0,1+1,1,577000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/1112-1450-boul-rene-levesque-o/13291184/mls26634579/,"1112-1450 Boul. René-Lévesque O., Montréal (Ville-Marie), QC, H3G 0E1",H3G 0E1,0,0,2,2,895000
https://www.royallepage.ca/en/property/quebec/montreal-ahuntsic-cartierville/10490-rue-lajeunesse/13240682/mls22218992/,"10490 Rue Lajeunesse, Montréal (Ahuntsic-Cartierville), QC, H3L 2E5",H3L 2E5,0,0,,,458000
https://www.royallepage.ca/en/property/quebec/montreal-le-plateau-mont-royal/3816-3818-av-coloniale/13186126/mls10148189/,"3816  - 3818 Av. Coloniale, Montréal (Le Plateau-Mont-Royal), QC, H2W 2B6",H2W 2B6,0,0,,,1100000
https://www.royallepage.ca/en/property/quebec/montreal-le-sud-ouest/205-100-rue-vinet/13189656/mls26353233/,"205-100 Rue Vinet, Montréal (Le Sud-Ouest), QC, H3J 2C9",H3J 2C9,0,0,1,1,420000
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/2405-1450-boul-rene-levesque-o/13176999/mls19568467/,"2405-1450 Boul. René-Lévesque O., Montréal (Ville-Marie), QC, H3G 0E1",H3G 0E1,0,0,2,2,949900
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/2605-405-rue-de-la-concorde/13161658/mls26528328/,"2605-405 Rue de la Concorde, Montréal (Ville-Marie), QC, H3A 0H1",H3A 0H1,0,0,1,1,519900
https://www.royallepage.ca/en/property/quebec/montreal-ville-marie/907-1414-rue-chomedey/13098067/mls10356343/,"907-1414 Rue Chomedey, Montréal (Ville-Marie), QC, H3H 0A2",H3H 0A2,0,0,1,1,425000
